table_name,table_description,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,column_description,is_primary_key,foreign_key_references
damages,Damage to prison property recorded on a draft adjudication. Copied to reported_damages on submission.,id,1,integer,,NO,nextval('damages_id_seq'::regclass),,Y,
damages,Damage to prison property recorded on a draft adjudication. Copied to reported_damages on submission.,draft_adjudication_fk_id,2,bigint,,YES,,Foreign key to draft_adjudications.,N,draft_adjudications
damages,Damage to prison property recorded on a draft adjudication. Copied to reported_damages on submission.,code,3,character varying,32,NO,,"Type of damage. One of ELECTRICAL_REPAIR, PLUMBING_REPAIR, FURNITURE_OR_FABRIC_REPAIR, LOCK_REPAIR, REDECORATION, CLEANING, REPLACE_AN_ITEM.",N,
damages,Damage to prison property recorded on a draft adjudication. Copied to reported_damages on submission.,details,4,character varying,4000,NO,,Free text description of the damage.,N,
damages,Damage to prison property recorded on a draft adjudication. Copied to reported_damages on submission.,reporter,5,character varying,32,NO,,DPS username of the officer who recorded this entry.,N,
damages,Damage to prison property recorded on a draft adjudication. Copied to reported_damages on submission.,create_user_id,6,character varying,32,NO,,,N,
damages,Damage to prison property recorded on a draft adjudication. Copied to reported_damages on submission.,create_datetime,7,timestamp without time zone,,NO,,,N,
damages,Damage to prison property recorded on a draft adjudication. Copied to reported_damages on submission.,modify_user_id,8,character varying,32,YES,,,N,
damages,Damage to prison property recorded on a draft adjudication. Copied to reported_damages on submission.,modify_datetime,9,timestamp without time zone,,YES,,,N,
dis_issue_history,Full history of issuing the notice of being placed on report (DIS1/2) to the prisoner. The most recent issue is also denormalised onto reported_adjudications.,id,1,integer,,NO,nextval('dis_issue_history_id_seq'::regclass),,Y,
dis_issue_history,Full history of issuing the notice of being placed on report (DIS1/2) to the prisoner. The most recent issue is also denormalised onto reported_adjudications.,reported_adjudication_fk_id,2,bigint,,YES,,Foreign key to reported_adjudications.,N,reported_adjudications
dis_issue_history,Full history of issuing the notice of being placed on report (DIS1/2) to the prisoner. The most recent issue is also denormalised onto reported_adjudications.,issuing_officer,3,character varying,32,YES,,DPS username of the officer who issued the form.,N,
dis_issue_history,Full history of issuing the notice of being placed on report (DIS1/2) to the prisoner. The most recent issue is also denormalised onto reported_adjudications.,date_time_of_issue,4,timestamp without time zone,,YES,,When the form was issued to the prisoner.,N,
dis_issue_history,Full history of issuing the notice of being placed on report (DIS1/2) to the prisoner. The most recent issue is also denormalised onto reported_adjudications.,create_user_id,5,character varying,32,NO,,,N,
dis_issue_history,Full history of issuing the notice of being placed on report (DIS1/2) to the prisoner. The most recent issue is also denormalised onto reported_adjudications.,create_datetime,6,timestamp without time zone,,NO,,,N,
dis_issue_history,Full history of issuing the notice of being placed on report (DIS1/2) to the prisoner. The most recent issue is also denormalised onto reported_adjudications.,modify_user_id,7,character varying,32,YES,,,N,
dis_issue_history,Full history of issuing the notice of being placed on report (DIS1/2) to the prisoner. The most recent issue is also denormalised onto reported_adjudications.,modify_datetime,8,timestamp without time zone,,YES,,,N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",id,1,integer,,NO,nextval('draft_adjudications_id_seq'::regclass),,Y,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",prisoner_number,2,character varying,7,NO,,NOMIS offender number (noms id) of the prisoner the charge is against.,N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",incident_details_id,3,integer,,YES,,Foreign key to incident_details.,N,incident_details
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",incident_statement_id,4,integer,,YES,,Foreign key to incident_statement.,N,incident_statement
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",create_user_id,5,character varying,32,NO,,,N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",create_datetime,6,timestamp without time zone,,NO,,,N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",modify_user_id,7,character varying,32,YES,,,N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",modify_datetime,8,timestamp without time zone,,YES,,,N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",originating_agency_id,9,character varying,6,NO,'MDI'::character varying,Agency (prison) code where the incident was reported.,N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",charge_number,10,character varying,16,YES,,"Charge number, populated only once the draft has been submitted and a reported adjudication exists. Format is <agency><6 digit sequence>, optionally suffixed -<n> for additional charges on the same incident.",N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",report_by_user_id,11,character varying,32,YES,,DPS username of the officer who submitted the report. Null while the draft is unsubmitted.,N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",incident_role_id,12,integer,,YES,,Foreign key to incident_role.,N,incident_role
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",is_youth_offender,13,boolean,,YES,,True when the YOI rule set applies rather than the adult rule set. Determines which offence paragraphs and hearing types are valid.,N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",damages_saved,14,boolean,,YES,,"True once the reporter has completed the damages page, including confirming there were none. Distinguishes ""no damages"" from ""not yet asked"".",N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",evidence_saved,15,boolean,,YES,,"True once the reporter has completed the evidence page, including confirming there was none.",N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",witnesses_saved,16,boolean,,YES,,"True once the reporter has completed the witnesses page, including confirming there were none.",N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",gender,17,character varying,12,NO,'MALE'::character varying,"Prisoner gender, used to select the correct wording of offence paragraphs. One of MALE, FEMALE.",N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",override_agency_id,18,character varying,6,YES,,Agency code the prisoner has since transferred to. Set when the report needs to be actioned by the receiving prison.,N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",created_on_behalf_of_officer,19,character varying,32,YES,,"Name of the officer the report was created on behalf of, when someone else entered it for them.",N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",created_on_behalf_of_reason,20,character varying,4000,YES,,Reason the report was created on behalf of another officer.,N,
draft_adjudications,"A report being written by a reporting officer, before it is submitted for review. Rows are deleted once the draft is submitted and copied into reported_adjudications, so this table holds work in progress only and is not a historic record.",offender_booking_id,21,bigint,,YES,,NOMIS OFFENDER_BOOK_ID for the prisoner's booking at the time of the incident.,N,
draft_protected_characteristics,"Protected characteristics of the victim recorded as motivating the offence, on a draft adjudication. Copied to protected_characteristics on submission.",id,1,integer,,NO,nextval('draft_protected_characteristics_id_seq'::regclass),,Y,
draft_protected_characteristics,"Protected characteristics of the victim recorded as motivating the offence, on a draft adjudication. Copied to protected_characteristics on submission.",offence_fk_id,2,bigint,,YES,,Foreign key to offence.,N,offence
draft_protected_characteristics,"Protected characteristics of the victim recorded as motivating the offence, on a draft adjudication. Copied to protected_characteristics on submission.",characteristic,3,character varying,20,NO,,"One of AGE, DISABILITY, GENDER_REASSIGN, MARRIAGE_AND_CP, PREGNANCY_AND_MAT, RACE, RELIGION, SEX, SEX_ORIENTATION.",N,
draft_protected_characteristics,"Protected characteristics of the victim recorded as motivating the offence, on a draft adjudication. Copied to protected_characteristics on submission.",create_user_id,4,character varying,32,NO,,,N,
draft_protected_characteristics,"Protected characteristics of the victim recorded as motivating the offence, on a draft adjudication. Copied to protected_characteristics on submission.",create_datetime,5,timestamp without time zone,,NO,,,N,
draft_protected_characteristics,"Protected characteristics of the victim recorded as motivating the offence, on a draft adjudication. Copied to protected_characteristics on submission.",modify_user_id,6,character varying,32,YES,,,N,
draft_protected_characteristics,"Protected characteristics of the victim recorded as motivating the offence, on a draft adjudication. Copied to protected_characteristics on submission.",modify_datetime,7,timestamp without time zone,,YES,,,N,
evidence,Evidence recorded on a draft adjudication. Copied to reported_evidence on submission.,id,1,integer,,NO,nextval('evidence_id_seq'::regclass),,Y,
evidence,Evidence recorded on a draft adjudication. Copied to reported_evidence on submission.,draft_adjudication_fk_id,2,bigint,,YES,,Foreign key to draft_adjudications.,N,draft_adjudications
evidence,Evidence recorded on a draft adjudication. Copied to reported_evidence on submission.,code,3,character varying,32,NO,,"Type of evidence. One of PHOTO, BODY_WORN_CAMERA, CCTV, BAGGED_AND_TAGGED, OTHER.",N,
evidence,Evidence recorded on a draft adjudication. Copied to reported_evidence on submission.,identifier,4,character varying,32,YES,,"Reference number for the evidence, such as a body worn camera or seal number.",N,
evidence,Evidence recorded on a draft adjudication. Copied to reported_evidence on submission.,details,5,character varying,4000,NO,,Free text description of the evidence.,N,
evidence,Evidence recorded on a draft adjudication. Copied to reported_evidence on submission.,reporter,6,character varying,32,NO,,DPS username of the officer who recorded this entry.,N,
evidence,Evidence recorded on a draft adjudication. Copied to reported_evidence on submission.,create_user_id,7,character varying,32,NO,,,N,
evidence,Evidence recorded on a draft adjudication. Copied to reported_evidence on submission.,create_datetime,8,timestamp without time zone,,NO,,,N,
evidence,Evidence recorded on a draft adjudication. Copied to reported_evidence on submission.,modify_user_id,9,character varying,32,YES,,,N,
evidence,Evidence recorded on a draft adjudication. Copied to reported_evidence on submission.,modify_datetime,10,timestamp without time zone,,YES,,,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",id,1,integer,,NO,nextval('hearing_id_seq'::regclass),,Y,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",reported_adjudication_fk_id,2,bigint,,YES,,Foreign key to reported_adjudications.,N,reported_adjudications
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",agency_id,3,character varying,6,NO,,Agency (prison) code where the hearing takes place. May differ from the charge's originating agency after a transfer.,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",location_id,5,bigint,,YES,,Legacy NOMIS internal location id of the hearing room. Superseded by location_uuid.,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",date_time_of_hearing,6,timestamp without time zone,,NO,,"When the hearing is scheduled for, or was held.",N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",create_user_id,7,character varying,32,NO,,,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",create_datetime,8,timestamp without time zone,,NO,,,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",modify_user_id,9,character varying,32,YES,,,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",modify_datetime,10,timestamp without time zone,,YES,,,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",charge_number,11,character varying,16,NO,,"Charge number of the parent adjudication, denormalised for lookup.",N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",oic_hearing_id,12,bigint,,YES,,NOMIS OIC_HEARING_ID. Populated for migrated hearings and for hearings synchronised back to NOMIS.,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",oic_hearing_type,13,character varying,32,NO,'GOV'::character varying,"Who hears the case, and under which rule set. One of GOV_ADULT, GOV_YOI, INAD_ADULT, INAD_YOI, GOV. GOV = governor, INAD = independent adjudicator.",N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",outcome_id,14,integer,,YES,,Foreign key to hearing_outcome. Null while the hearing is scheduled but not yet held.,N,hearing_outcome
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",hearing_pre_migrate_id,16,integer,,YES,,Legacy column from the NOMIS migration. The table it referenced was dropped in V91 and it is no longer populated.,N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",representative,17,character varying,240,YES,,"Name of the prisoner's representative at the hearing, where they had one.",N,
hearing,"A scheduled or held adjudication hearing. A charge can have several hearings, for example where the first is adjourned. The ordered case history shown in the UI is assembled from this table and outcome by ReportedAdjudicationService.createOutcomeHistory().",location_uuid,19,uuid,,NO,,Location identifier in the locations-inside-prison service. This is the current location reference.,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,id,1,integer,,NO,nextval('hearing_outcome_id_seq'::regclass),,Y,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,code,2,character varying,32,NO,,"What the adjudicator did. One of COMPLETE (a finding was reached - see the linked outcome row for what it was), ADJOURN, REFER_POLICE, REFER_INAD, REFER_GOV, NOMIS (outcome was entered in NOMIS rather than DPS).",N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,adjudicator,3,character varying,32,NO,,Name or username of the governor or independent adjudicator who heard the case.,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,adjourn_reason,4,character varying,32,YES,,"Why the hearing was adjourned. One of LEGAL_ADVICE, LEGAL_REPRESENTATION, RO_ATTEND, HELP, UNFIT, WITNESS, WITNESS_SUPPORT, MCKENZIE, EVIDENCE, INVESTIGATION, OTHER. Null unless code is ADJOURN.",N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,plea,5,character varying,32,YES,,"The prisoner's plea. One of GUILTY, NOT_GUILTY, ABSTAIN, UNFIT, NOT_ASKED.",N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,details,6,character varying,4000,YES,,Free text notes recorded against the hearing outcome.,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,create_user_id,7,character varying,32,NO,,,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,create_datetime,8,timestamp without time zone,,NO,,,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,modify_user_id,9,character varying,32,YES,,,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,modify_datetime,10,timestamp without time zone,,YES,,,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,nomis_outcome,12,boolean,,NO,false,"True when the outcome was recorded in NOMIS rather than DPS, so DPS holds only a placeholder.",N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,migrated,13,boolean,,NO,false,True when the row was created by the NOMIS migration.,N,
hearing_outcome,What happened at a hearing. One row per hearing that has been held.,hearing_outcome_pre_migrate_id,14,integer,,YES,,Legacy column from the NOMIS migration. The table it referenced was dropped in V91 and it is no longer populated.,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",id,1,integer,,NO,nextval('incident_details_id_seq'::regclass),,Y,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",date_time_of_incident,2,timestamp without time zone,,YES,,When the incident occurred.,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",location_id,3,bigint,,YES,,Legacy NOMIS internal location id (AGENCY_INTERNAL_LOCATIONS.INTERNAL_LOCATION_ID). Superseded by location_uuid.,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",create_user_id,4,character varying,32,NO,,,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",create_datetime,5,timestamp without time zone,,NO,,,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",modify_user_id,6,character varying,32,YES,,,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",modify_datetime,7,timestamp without time zone,,YES,,,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",handover_deadline,8,timestamp without time zone,,YES,,"Deadline for issuing the notice of report to the prisoner, calculated as 48 hours after discovery.",N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",date_time_of_discovery,9,timestamp without time zone,,NO,,When the incident was discovered. Equal to the incident date unless it was found later; the 48 hour notice clock runs from here.,N,
incident_details,"When and where the incident happened, for a draft adjudication. One row per draft.",location_uuid,10,uuid,,NO,,Location identifier in the locations-inside-prison service. This is the current location reference.,N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",id,1,integer,,NO,nextval('incident_role_id_seq'::regclass),,Y,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",role_code,2,character varying,5,YES,,"Paragraph 25 role code. Null means the prisoner committed the offence alone. 25a = attempts to commit, 25b = incites another to commit, 25c = assists another to commit.",N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",associated_prisoners_number,3,character varying,7,YES,,"NOMIS offender number of the other prisoner involved, where the role code requires one.",N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",create_user_id,4,character varying,32,NO,,,N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",create_datetime,5,timestamp without time zone,,NO,,,N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",modify_user_id,6,character varying,32,YES,,,N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",modify_datetime,7,timestamp without time zone,,YES,,,N,
incident_role,"The prisoner's role in the incident for a draft adjudication - whether they committed the offence themselves or attempted, incited or assisted another. One row per draft.",associated_prisoners_name,8,character varying,100,YES,,"Name of the other prisoner involved, held where they are not in the current establishment and cannot be looked up.",N,
incident_statement,"The reporting officer's free text account of the incident, for a draft adjudication. One row per draft.",id,1,integer,,NO,nextval('incident_statement_id_seq'::regclass),,Y,
incident_statement,"The reporting officer's free text account of the incident, for a draft adjudication. One row per draft.",statement,2,character varying,4000,YES,,"Free text description of the incident, up to 4000 characters.",N,
incident_statement,"The reporting officer's free text account of the incident, for a draft adjudication. One row per draft.",create_user_id,3,character varying,32,NO,,,N,
incident_statement,"The reporting officer's free text account of the incident, for a draft adjudication. One row per draft.",create_datetime,4,timestamp without time zone,,NO,,,N,
incident_statement,"The reporting officer's free text account of the incident, for a draft adjudication. One row per draft.",modify_user_id,5,character varying,32,YES,,,N,
